main_category,sub_category,flower_type,english_name,main_category_en,sub_category_en,small_category,product_name_candidate,product_number,price,product_url
花・観葉植物,花束・切花,コチョウラン,phalaenopsis,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/phalaenopsis,'花束・切花  コチョウラン'_0,1,25946,https://example-test-flower.jp/item/1
花・観葉植物,花束・切花,コチョウラン,phalaenopsis,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/phalaenopsis,'花束・切花  コチョウラン'_1,2,64237,https://example-test-flower.jp/item/2
花・観葉植物,花束・切花,コチョウラン,phalaenopsis,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/phalaenopsis,'花束・切花  コチョウラン'_2,3,123753,https://example-test-flower.jp/item/3
花・観葉植物,花束・切花,コチョウラン,phalaenopsis,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/phalaenopsis,'花束・切花  コチョウラン'_3,4,83353,https://example-test-flower.jp/item/4
花・観葉植物,花束・切花,コチョウラン,phalaenopsis,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/phalaenopsis,'花束・切花  コチョウラン'_4,5,124640,https://example-test-flower.jp/item/5
花・観葉植物,花束・切花,コチョウラン,phalaenopsis,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/phalaenopsis,'花束・切花  コチョウラン'_5,6,24956,https://example-test-flower.jp/item/6
花・観葉植物,花束・切花,コチョウラン,phalaenopsis,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/phalaenopsis,'花束・切花  コチョウラン'_6,7,95723,https://example-test-flower.jp/item/7
花・観葉植物,花束・切花,コチョウラン,phalaenopsis,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/phalaenopsis,'花束・切花  コチョウラン'_7,8,68638,https://example-test-flower.jp/item/8
花・観葉植物,花束・切花,コチョウラン,phalaenopsis,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/phalaenopsis,'花束・切花  コチョウラン'_8,9,77964,https://example-test-flower.jp/item/9
花・観葉植物,花束・切花,コチョウラン,phalaenopsis,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/phalaenopsis,'花束・切花  コチョウラン'_9,10,110846,https://example-test-flower.jp/item/10
花・観葉植物,花束・切花,コチョウラン,phalaenopsis,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/phalaenopsis,'花束・切花  コチョウラン'_a,11,121996,https://example-test-flower.jp/item/11
花・観葉植物,花束・切花,コチョウラン,phalaenopsis,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/phalaenopsis,'花束・切花  コチョウラン'_b,12,147326,https://example-test-flower.jp/item/12
花・観葉植物,花束・切花,コチョウラン,phalaenopsis,category/flowers-and-plants,category/flowers-and-plants/bouquets-and-cut-flowers,category/flowers-and-plants/bouquets-and-cut-flowers/phalaenopsis,'花束・切花  コチョウラン'_c,13,19703,https://example-test-flower.jp/item/13
