order_id,user_id,total_amount,order_date
1,11355,23271.44,2049-02-03 06:56:42.775455
2,8113,22097.26,2044-11-29 23:21:32.532623
3,803,5400.32,2046-08-27 19:26:41.674448
4,14042,21025.8,2045-04-12 17:23:14.132210
5,8581,16402.2,2049-09-22 12:39:00.207897
6,17265,24563.06,2048-12-18 21:15:51.511514
7,7158,7027.6,2045-10-13 16:20:17.822187
8,17552,20309.76,2049-09-25 04:30:36.096168
9,16808,21540.16,2046-01-09 00:00:21.956716
10,12883,10693.95,2049-01-29 11:08:21.539784
11,5858,5484.19,2047-05-09 05:06:29.109146
12,2802,15892.66,2046-06-04 17:31:35.612885
13,11769,6117.93,2045-09-22 18:05:28.667766
14,7934,7583.67,2046-01-14 00:41:17.844305
15,2603,3390.48,2045-01-12 21:09:49.429134
16,15655,3717.37,2045-05-03 18:19:48.758291
17,18903,10460.26,2047-03-05 11:39:24.378025
18,2303,15590.0,2047-07-28 16:59:18.833791
19,8907,10624.88,2045-04-07 16:03:36.236046
20,15028,19641.01,2045-07-31 12:44:41.529082
21,2543,9979.45,2045-09-21 12:17:30.331999
22,10425,21590.18,2048-03-16 06:01:29.485687
23,1091,24717.62,2047-01-14 08:49:15.041287
24,3523,15804.92,2045-06-15 12:45:00.317817
25,13847,18732.93,2047-07-03 18:15:10.925147
26,9025,24789.51,2046-11-05 22:29:59.317703
27,10695,13496.81,2048-05-04 07:57:05.705184
28,2844,11436.83,2048-01-13 11:03:14.563174
29,4720,24515.26,2047-03-26 18:40:04.493615
30,8969,24237.75,2049-07-19 12:02:49.873285
31,11403,23042.73,2047-10-23 01:17:43.351532
32,15177,10529.13,2049-06-29 19:30:04.738013
33,9299,5453.52,2048-11-06 22:34:47.679111
34,4171,18141.46,2045-12-31 19:39:26.394189
35,12820,19202.3,2045-02-26 18:26:59.995633
36,3828,11957.2,2046-11-10 11:25:56.295038
37,8745,18254.97,2048-12-19 08:20:50.627464
38,7473,3918.23,2048-12-17 21:14:17.873929
39,16201,15512.61,2048-02-06 01:14:49.272264
40,1556,11995.26,2044-12-19 15:26:42.660179
41,25,4705.74,2046-11-19 09:54:09.174478
42,4973,8052.9,2045-07-11 04:56:12.147740
43,13068,21236.19,2047-03-26 10:00:58.806954
44,11055,8151.77,2046-09-05 16:43:53.929060
45,3806,12535.4,2049-01-31 21:38:33.961814
46,10459,12390.09,2046-03-07 23:25:06.544374
47,16152,14975.9,2047-12-02 20:21:26.343744
48,16341,21170.23,2048-12-22 23:15:42.521111
49,4736,6437.66,2045-06-27 00:59:20.884898
50,11450,9322.64,2046-07-17 15:35:29.203942
51,13832,10624.31,2049-09-20 16:04:57.500696
52,15433,23189.17,2048-08-31 06:07:48.732779
53,15580,7528.94,2047-01-06 13:43:27.746666
54,16167,8108.31,2047-11-25 00:43:55.819839
55,4598,13852.34,2048-03-16 20:02:50.637326
56,3603,7257.51,2047-08-16 04:58:08.497179
57,14776,16010.25,2044-11-30 10:08:55.053616
58,3989,3517.01,2046-06-13 00:37:20.715466
59,5926,13186.82,2047-06-01 12:48:25.894735
60,13018,22037.83,2048-04-30 05:47:07.571994
61,266,16944.89,2045-11-05 00:04:33.723691
62,15551,19255.5,2045-03-16 21:21:24.305350
63,1785,13225.36,2046-03-12 17:08:00.844847
64,15427,12698.81,2049-07-16 22:41:56.658417
65,7348,22087.98,2047-09-20 23:19:24.233221
66,5436,2505.64,2045-08-26 16:57:33.482628
67,16969,9193.22,2044-12-13 14:35:50.021479
68,16285,9167.66,2049-02-08 02:11:25.530191
69,18287,13474.9,2049-05-21 05:02:01.074504
70,11391,1558.95,2045-02-03 09:31:06.922104
71,18996,21116.97,2049-01-30 01:02:12.106677
72,18794,11037.85,2046-08-29 22:28:25.752349
73,6615,12105.58,2048-03-18 15:14:26.936283
74,14415,11412.07,2047-09-09 12:19:39.006616
75,4982,24870.79,2047-01-08 03:30:22.441275
76,11745,3462.26,2048-03-17 09:17:16.648918
77,1180,23634.03,2046-09-24 08:01:16.841544
78,15560,10093.64,2045-04-25 12:35:36.164558
79,2865,19634.88,2045-01-13 17:14:59.986263
80,1567,20768.07,2049-09-03 20:38:45.854079
81,13111,12622.3,2048-11-27 22:38:59.885164
82,13700,19284.19,2045-03-02 18:32:56.854871
83,9619,22156.9,2046-06-27 02:47:04.140750
84,10764,6760.15,2046-09-15 03:52:55.854444
85,17707,16271.73,2048-11-26 10:43:38.016723
86,10072,22582.31,2048-11-09 03:01:59.726580
87,14783,16154.96,2045-10-09 13:41:50.773736
88,19813,6282.58,2047-04-22 23:19:43.266465
89,85,18157.63,2046-06-20 23:08:24.155069
90,10047,8395.57,2048-07-10 17:14:17.858736
91,102,20097.2,2047-10-07 02:00:48.486099
92,10766,4389.84,2046-07-05 09:38:02.271618
93,14541,8374.4,2049-09-15 15:03:18.622838
94,14186,16656.68,2049-09-11 03:04:24.015767
95,17478,16645.93,2048-04-05 13:39:33.035776
96,14488,4452.97,2048-01-12 14:03:51.795058
97,7239,10770.99,2049-02-14 09:55:15.212496
98,4549,20473.38,2048-02-23 23:06:24.929759
99,6793,17334.35,2045-11-26 08:48:22.034464
100,782,4467.93,2046-01-04 01:52:55.616697
101,15993,17291.74,2045-08-26 13:07:19.604092
102,15118,14546.12,2045-08-02 18:15:48.189826
103,12783,5302.32,2048-02-05 18:06:49.454994
104,3555,11675.7,2046-03-09 19:19:29.704291
105,16734,8601.09,2049-03-30 03:23:38.375197
106,14413,11957.4,2049-02-01 21:13:20.936037
107,1888,10502.35,2045-07-18 07:46:29.007179
108,12311,12472.61,2049-10-07 04:02:24.093532
109,2602,15916.34,2048-10-19 06:04:32.589145
110,16496,13249.69,2049-07-11 20:38:40.978564
111,13375,14500.77,2047-09-25 21:53:57.781944
112,6495,23907.97,2046-09-01 20:49:28.410368
113,19464,19615.83,2046-10-09 19:03:07.157585
114,19211,17200.04,2049-08-28 06:56:10.722430
115,17617,13019.1,2048-05-20 20:44:00.808110
116,18378,13573.17,2048-08-28 10:47:27.046129
117,5283,16657.1,2046-03-04 06:16:21.852298
118,9753,21917.14,2049-08-14 09:13:19.544142
119,9048,23823.93,2046-10-11 15:52:33.852819
120,6593,22542.46,2047-04-01 00:38:08.322198
121,13179,4377.38,2045-08-16 02:42:13.150444
122,13149,13274.64,2046-09-07 18:42:04.997195
123,17528,9434.19,2048-06-24 03:56:00.760265
124,7081,11409.49,2048-03-28 10:14:30.058434
125,16926,20927.59,2046-12-10 00:32:44.980911
126,2045,10778.47,2045-11-06 11:56:50.399339
127,16308,10625.9,2048-07-30 13:51:18.727711
128,3134,12413.4,2048-01-23 16:32:17.070236
129,4968,5991.23,2046-10-04 10:35:23.538261
130,17555,21169.32,2048-09-19 18:53:25.313238
131,18699,8649.17,2049-02-16 20:59:04.859706
132,6086,12215.18,2048-04-26 15:23:47.284654
133,9235,16040.84,2047-10-28 06:02:16.854318
134,7545,15893.95,2046-08-11 23:45:43.131878
135,19770,11526.16,2046-10-10 20:48:42.741045
136,888,9157.69,2049-08-15 12:35:47.318321
137,717,12422.55,2049-10-02 18:51:57.251893
138,3046,24987.49,2048-12-24 00:55:34.435618
139,18220,17836.11,2049-02-22 09:17:51.995922
140,2498,20771.23,2046-10-27 17:44:55.682483
141,6620,3209.86,2046-08-18 12:22:17.187540
142,19593,19758.59,2049-10-12 05:47:16.076169
143,11681,15878.23,2046-06-11 19:09:01.808644
144,15997,24711.55,2045-02-22 04:06:42.802927
145,2324,12415.17,2045-06-01 01:09:08.845389
146,923,5780.4,2047-08-21 18:07:12.323769
147,4625,13426.86,2045-07-07 05:47:28.583933
148,3487,15922.22,2048-12-22 03:56:10.521850
149,117,10715.13,2049-10-07 01:55:27.601790
150,9994,10454.63,2046-12-13 07:00:57.384138
151,13933,16295.32,2044-11-19 14:20:04.358627
152,18397,11317.73,2048-04-15 07:24:21.593639
153,9973,3939.21,2048-02-03 20:44:51.314239
154,19591,23457.91,2046-06-16 18:47:48.011919
155,13086,7987.59,2048-11-23 10:27:16.580179
156,5459,17447.68,2047-02-25 19:06:10.639986
157,8815,13714.78,2048-05-20 12:28:17.000774
158,8724,15577.79,2049-01-02 00:51:46.014831
159,945,23253.07,2045-06-29 23:18:17.330217
160,16611,11606.69,2047-11-19 11:35:16.292130
161,16153,20389.47,2049-09-16 20:29:45.391904
162,10021,17072.95,2047-05-21 19:52:11.024095
163,9533,22782.68,2047-08-12 16:42:58.196275
164,7833,7186.66,2048-09-27 09:16:46.268948
165,10382,14583.08,2047-12-21 13:10:51.673104
166,10701,4857.39,2049-03-22 21:37:36.677517
167,6407,15504.48,2045-12-23 17:19:01.723526
168,17907,18336.58,2046-06-30 08:27:11.591454
169,16418,4468.81,2048-10-28 11:02:44.849750
170,17402,20906.93,2048-05-26 12:34:42.195614
171,14280,19094.5,2047-10-02 02:41:02.759811
172,18243,18739.8,2047-03-11 23:39:30.795359
173,12878,17487.23,2047-02-07 14:46:37.370036
174,18618,15007.71,2046-08-14 18:47:45.515675
175,18266,21611.09,2048-11-04 16:10:32.422914
176,5109,11507.27,2047-03-28 07:49:28.640219
177,13417,15845.33,2046-05-22 22:35:50.496592
178,15331,22352.93,2049-08-30 18:41:40.684030
179,10302,18371.31,2044-11-27 15:26:08.800958
180,15257,17397.34,2046-05-05 01:20:28.950812
181,16362,12602.46,2046-12-31 19:04:43.475970
182,13820,9245.57,2046-04-16 20:27:59.843994
183,3280,11638.11,2046-05-03 10:51:00.349623
184,15029,9477.93,2046-08-30 09:09:13.423417
185,13442,15773.11,2046-09-27 12:31:46.751708
186,6513,19222.6,2045-06-04 22:09:51.435794
187,7133,3859.88,2045-01-14 10:13:04.724668
188,13429,19466.85,2049-08-16 19:53:50.954347
189,14246,21135.24,2045-05-08 20:24:13.237702
190,16610,11445.19,2048-12-15 17:46:05.110596
191,19309,20875.68,2047-02-22 09:52:04.469532
192,16155,2112.44,2049-06-27 13:22:26.059447
193,9996,21163.84,2044-11-08 16:23:03.879577
194,6028,22124.48,2047-01-01 23:25:44.764138
195,265,21830.58,2046-10-09 12:47:49.600774
196,11968,18952.78,2047-01-24 07:12:51.332352
197,9298,16366.31,2045-03-04 13:04:20.482711
198,17979,14573.65,2045-12-28 14:20:04.222939
199,7021,19616.97,2046-10-07 08:25:55.894125
200,14915,10647.54,2046-09-20 09:19:55.708217
201,18574,5597.41,2045-03-08 00:31:36.328853
202,10132,9430.76,2049-05-23 18:16:21.094277
203,13843,4451.88,2048-06-21 14:54:25.368835
204,6215,19922.58,2049-03-03 09:59:46.134719
205,3697,10693.83,2048-09-18 19:10:55.109835
206,8712,19005.61,2047-09-23 15:37:10.943495
207,15920,5225.16,2044-11-13 11:58:29.953665
208,18024,12104.27,2048-10-10 15:57:18.790460
209,12270,5560.04,2048-05-24 10:57:23.032024
